CheetahProteinDescription,HumanName
Adenylosuccinate synthetase isozyme 2,Adenylosuccinate synthetase isozyme 2
afamin,Afamin
alpha-fetoprotein,Alpha-fetoprotein 
Glycogen debrancher,Glycogen debranching enzyme
Angiotensinogen,Angiotensinogen
Adenosylhomocysteinase,Adenosylhomocysteinase
neuroblast differentiation-associated protein AHNAK,Neuroblast differentiation-associated protein AHNAK
Alpha-2-HS-glycoprotein,Alpha-2-HS-glycoprotein
Adenylate kinase isoenzyme 1,Adenylate kinase isoenzyme 1
"Adenylate kinase 2, mitochondrial","Adenylate kinase 2, mitochondrial"
A-kinase anchor protein 12,A-kinase anchor protein 12
Alcohol dehydrogenase [NADP(+)],Aldo-keto reductase family 1 member A1
aldose reductase,Aldo-keto reductase family 1 member B1 
Delta-aminolevulinic acid dehydratase,Delta-aminolevulinic acid dehydratase
serum albumin,Albumin
Activated leukocyte cell adhesion molecule,CD166 antigen
aldehyde dehydrogenase family 1 member A3,Aldehyde dehydrogenase family 1 member A3
Aldehyde dehydrogenase,Aldehyde dehydrogenase family 3 member A2
"methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial","Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial"
Aldehyde dehydrogenase (NAD(+)),Alpha-aminoadipic semialdehyde dehydrogenase
4-trimethylaminobutyraldehyde dehydrogenase,"4-trimethylaminobutyraldehyde dehydrogenase, N-terminally processed"
Fructose-bisphosphate aldolase,Fructose-bisphosphate aldolase A
Fructose-bisphosphate aldolase,Fructose-bisphosphate aldolase B
Fructose-bisphosphate aldolase,Fructose-bisphosphate aldolase C
"arachidonate 12-lipoxygenase, 12S-type",Polyunsaturated fatty acid lipoxygenase ALOX12 
arachidonate 5-lipoxygenase,Polyunsaturated fatty acid 5-lipoxygenase
Protein AMBP,Protein AMBP
Alpha-amylase,Alpha-amylase 2B 
angiogenin,Angiogenin
angiopoietin-related protein 3,Angiopoietin-related protein 3
angiopoietin-related protein 6,Angiopoietin-related protein 6
ankyrin-1,Ankyrin-1
ankyrin repeat domain-containing protein 13A,Ankyrin repeat domain-containing protein 13A
Anoctamin,Anoctamin-6
anthrax toxin receptor 1,Anthrax toxin receptor 1
Anthrax toxin receptor,Anthrax toxin receptor 2
Annexin,Annexin A1
Annexin,Annexin A11
Annexin,Annexin A2
Annexin,Annexin A5
Annexin,Annexin A6
Annexin,Annexin A8 
Amine oxidase,Membrane primary amine oxidase 
Amine oxidase,Membrane primary amine oxidase 
AP complex subunit beta,AP-1 complex subunit beta-1
AP-1 complex subunit gamma,AP-1 complex subunit gamma-1
AP-1 complex subunit mu-1,AP-1 complex subunit mu-1
AP complex subunit sigma,AP-1 complex subunit sigma-1A
AP-2 complex subunit alpha,AP-2 complex subunit alpha-1
AP-2 complex subunit alpha,AP-2 complex subunit alpha-2
AP complex subunit beta,AP-2 complex subunit beta
AP-3 complex subunit beta,AP-3 complex subunit beta-1
Apoptotic protease-activating factor 1,Apoptotic protease-activating factor 1
Acyl-peptide hydrolase,Acylamino-acid-releasing enzyme
apoptosis inhibitor 5,Apoptosis inhibitor 5
apolipoprotein A-I,Apolipoprotein A-I
Apolipoprotein A-II,Apolipoprotein A-II
apolipoprotein A-IV,Apolipoprotein A-IV
apolipoprotein B-100,Apolipoprotein B-100
apolipoprotein B receptor,Apolipoprotein B receptor
Apolipoprotein C-I,Apolipoprotein C-I
Apolipoprotein C-II,Apolipoprotein C-II
Apolipoprotein C-III,Apolipoprotein C-III
Apolipoprotein C-IV,Apolipoprotein C-IV
Apolipoprotein D,Apolipoprotein D
apolipoprotein E,Apolipoprotein E
apolipoprotein F,Apolipoprotein F
Apolipoprotein H,Beta-2-glycoprotein 1
Apolipoprotein M,Apolipoprotein M
apolipoprotein R,Apolipoprotein R 
Amyloid-beta A4 protein,Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99
Adenine phosphoribosyltransferase,Adenine phosphoribosyltransferase
ADP-ribosylation factor 2,ADP-ribosylation factor 1 
ADP-ribosylation factor 3,ADP-ribosylation factor 3
ADP-ribosylation factor 4,ADP-ribosylation factor 4
Arginase,Arginase-1
rho GTPase-activating protein 1,Rho GTPase-activating protein 1
rho GTPase-activating protein 17,Rho GTPase-activating protein 17
rho GTPase-activating protein 18,Rho GTPase-activating protein 18
rho GTPase-activating protein 45,Rho GTPase-activating protein 45 [Cleaved into: Minor histocompatibility antigen HA-1
rho GTPase-activating protein 6,Rho GTPase-activating protein 6
rho GDP-dissociation inhibitor 1,Rho GDP-dissociation inhibitor 1
rho GDP-dissociation inhibitor 2,Rho GDP-dissociation inhibitor 2
ADP-ribosylation factor-like protein 6-interacting protein 1,ADP-ribosylation factor-like protein 6-interacting protein 1
PRA1 family protein,PRA1 family protein 3
ADP-ribosylation factor-like protein 8B,ADP-ribosylation factor-like protein 8B
Actin-related protein 2/3 complex subunit,Actin-related protein 2/3 complex subunit 1A
Actin-related protein 2/3 complex subunit,Actin-related protein 2/3 complex subunit 1B
Arp2/3 complex 34 kDa subunit,Actin-related protein 2/3 complex subunit 2
Actin-related protein 2/3 complex subunit 3,Actin-related protein 2/3 complex subunit 3
Actin-related protein 2/3 complex subunit 4,Actin-related protein 2/3 complex subunit 4
Actin-related protein 2/3 complex subunit 5,Actin-related protein 2/3 complex subunit 5
beta-arrestin-1,Beta-arrestin-1
NAD(P)(+)--arginine ADP-ribosyltransferase,Ecto-ADP-ribosyltransferase 3
Neutral ceramidase,Neutral ceramidase
Argininosuccinate lyase,Argininosuccinate lyase
asporin,Asporin
Argininosuccinate synthase,Argininosuccinate synthase
AICAR transformylase/inosine monophosphate cyclohydrolase,Bifunctional purine biosynthesis protein ATIC
atlastin-3,Atlastin-3 
atlastin-3,Atlastin-3 
Calcium-transporting ATPase,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2
Calcium-transporting ATPase,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3
ATP synthase subunit alpha,"ATP synthase subunit alpha, mitochondrial"
ATP synthase subunit beta,"ATP synthase subunit beta, mitochondrial"
ATP synthase F1 subunit epsilon,"ATPase inhibitor, mitochondrial"
"ATP synthase subunit d, mitochondrial","ATP synthase subunit d, mitochondrial"
ATP synthase peripheral stalk subunit OSCP,"ATP synthase subunit O, mitochondrial"
H(+)-transporting two-sector ATPase,V-type proton ATPase catalytic subunit A
Vacuolar proton pump subunit B,"V-type proton ATPase subunit B, brain isoform"
V-type proton ATPase subunit C,V-type proton ATPase subunit C 1
V-type proton ATPase subunit G,V-type proton ATPase subunit G 1
V-type proton ATPase subunit H,V-type proton ATPase subunit H
attractin,Attractin
advillin,Advillin
zinc-alpha-2-glycoprotein,Zinc-alpha-2-glycoprotein
Beta-2-microglobulin,Beta-2-microglobulin [Cleaved into: Beta-2-microglobulin form pI 5.3]
Hexosyltransferase,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2"
"Beta-1,4-glucuronyltransferase 1","Beta-1,4-glucuronyltransferase 1"
brain acid soluble protein 1,Brain acid soluble protein 1
basal cell adhesion molecule,Basal cell adhesion molecule
B-cell receptor-associated protein,B-cell receptor-associated protein 31
Carboxylic ester hydrolase,Cholinesterase
"D-beta-hydroxybutyrate dehydrogenase, mitochondrial","D-beta-hydroxybutyrate dehydrogenase, mitochondrial"
betaine--homocysteine S-methyltransferase 1,Betaine--homocysteine S-methyltransferase 1
myc box-dependent-interacting protein 1,Myc box-dependent-interacting protein 1 
bridging integrator 2,Bridging integrator 2
Bleomycin hydrolase,Bleomycin hydrolase
flavin reductase (NADPH),Flavin reductase
Metalloendopeptidase,Bone morphogenetic protein 1
BCL2/adenovirus E1B 19 kDa protein-interacting protein 2,BCL2/adenovirus E1B 19 kDa protein-interacting protein 2 
Bactericidal permeability-increasing protein,Bactericidal permeability-increasing protein
Breast cancer type 1 susceptibility protein homolog,Breast cancer type 1 susceptibility protein
biotinidase,Biotinidase
Tyrosine-protein kinase,Tyrosine-protein kinase BTK
butyrophilin subfamily 1 member A1,Butyrophilin subfamily 1 member A1 
butyrophilin-like protein 10,Butyrophilin-like protein 10 
butyrophilin-like protein 10,Butyrophilin-like protein 10 
complement C1q subcomponent subunit A,Complement C1q subcomponent subunit A
complement C1q tumor necrosis factor-related protein 3,Complement C1q tumor necrosis factor-related protein 3
Complement subcomponent C1r,Complement C1r subcomponent
complement C1r subcomponent-like protein,Complement C1r subcomponent-like protein
complement C1s subcomponent,Complement C1s subcomponent
C3/C5 convertase,Complement C2
complement C3,Complement C3 
complement C3 alpha chain,Complement C3 
complement C3 alpha chain,Complement C3 
Complement C3,Complement C3 
complement C4-A,Complement C4-A 
C4b-binding protein alpha chain,C4b-binding protein alpha chain 
C4b-binding protein beta chain,C4b-binding protein beta chain
neuropeptide-like protein C4orf48 homolog,Neuropeptide-like protein C4orf48 
complement C5,Complement C5 
complement C5,Complement C5
Complement component C6,Complement component C6
complement component C7,Complement component C7
complement component C8 alpha chain,Complement component C8 alpha chain
Complement component 8 subunit beta,Complement component C8 beta chain
complement component C8 gamma chain,Complement component C8 gamma chain
Complement component C9,Complement component C9 [Cleaved into: Complement component C9a; Complement component C9b]
Carbonic anhydrase,Carbonic anhydrase 2
Carbonic anhydrase,Carbonic anhydrase 3
calcium-binding protein 39,Calcium-binding protein 39
voltage-dependent calcium channel subunit alpha-2/delta-1,Voltage-dependent calcium channel subunit alpha-2/delta-1
CAD protein,CAD protein [Includes: Glutamine-dependent carbamoyl-phosphate synthase
caldesmon,Caldesmon
calmodulin-1,Calmodulin-3
Calreticulin,Calreticulin
calcium/calmodulin-dependent protein kinase type 1,Calcium/calmodulin-dependent protein kinase type 1
Calcium/calmodulin-dependent protein kinase,Calcium/calmodulin-dependent protein kinase type II subunit gamma
cathelicidin antimicrobial peptide,Cathelicidin antimicrobial peptide
cullin-associated NEDD8-dissociated protein 1,Cullin-associated NEDD8-dissociated protein 1
Galectin-3-binding protein,Soluble calcium-activated nucleotidase 1
calnexin,Calnexin
Adenylyl cyclase-associated protein,Adenylyl cyclase-associated protein 1
Macrophage-capping protein,Macrophage-capping protein
Calcium-activated neutral proteinase 1,Calpain-1 catalytic subunit
Calcium-activated neutral proteinase 2,Calpain-2 catalytic subunit
calpain-5,Calpain-5
Calcium-activated neutral proteinase small subunit,Calpain small subunit 1
F-actin-capping protein subunit alpha,F-actin-capping protein subunit alpha-1
F-actin-capping protein subunit alpha,F-actin-capping protein subunit alpha-2
F-actin-capping protein subunit beta,F-actin-capping protein subunit beta
calcium-regulated heat-stable protein 1,Calcium-regulated heat-stable protein 1
caspase-3,Caspase-3
caspase-7,Caspase-7 subunit p11
cas scaffolding protein family member 4,Cas scaffolding protein family member 4
Calpain inhibitor,Calpastatin
Catalase,Catalase
caveolae-associated protein 2,Caveolae-associated protein 2
Carbonyl reductase (NADPH),Carbonyl reductase [NADPH] 1 
Cystathionine beta-synthase,Cystathionine beta-synthase
C-C motif chemokine,C-C motif chemokine 14 
C-C motif chemokine,C-C motif chemokine 16
protein CYR61,CCN family member 1
CCT-beta,T-complex protein 1 subunit beta
T-complex protein 1 subunit gamma,T-complex protein 1 subunit gamma
T-complex protein 1 subunit delta,T-complex protein 1 subunit delta
CCT-epsilon,T-complex protein 1 subunit epsilon
T-complex protein 1 subunit zeta,T-complex protein 1 subunit zeta
T-complex protein 1 subunit eta,T-complex protein 1 subunit eta
CCT-theta,T-complex protein 1 subunit theta
Monocyte differentiation antigen CD14,Monocyte differentiation antigen CD14
Tetraspanin,CD151 antigen
CD177 antigen,CD177 antigen
CD226 antigen,CD226 antigen
CD44 antigen,CD44 antigen
Membrane cofactor protein,Membrane cofactor protein
complement decay-accelerating factor,Complement decay-accelerating factor
CD5 antigen,CD5 antigen-like
CD5 antigen,CD5 antigen-like
SLAM family member 5,SLAM family member 5
T-lymphocyte activation antigen CD86,T-lymphocyte activation antigen CD86
Tetraspanin,CD9 antigen
complement component C1q receptor,Complement component C1q receptor
Hsp90 chaperone protein kinase-targeting subunit,Hsp90 co-chaperone Cdc37
Cell division control protein 42 homolog,Cell division control protein 42 homolog
Non-specific serine/threonine protein kinase,Serine/threonine-protein kinase MRCK beta
Cadherin-1,Cadherin-1
Cadherin-13,Cadherin-13
Cadherin-5,Cadherin-5
cyclin-dependent kinase 2,Cyclin-dependent kinase 2
Phosphatidate cytidylyltransferase,Phosphatidate cytidylyltransferase 2
Carboxylic ester hydrolase,Bile salt-activated lipase
Carboxylic ester hydrolase,Cocaine esterase
C3/C5 convertase,Complement factor B
Adipsin,Complement factor D 
complement factor H,Complement factor H 
complement factor H,Complement factor H 
complement factor H,Complement factor H 
complement factor H-related protein 2,Complement factor H-related protein 2 
complement factor H-related protein 5,Complement factor H-related protein 5
complement factor I,Complement factor I
complement factor I,Complement factor I light chain
"Cofilin, non-muscle",Cofilin-1
properdin,Properdin
chondroadherin,Chondroadherin
neural cell adhesion molecule L1-like protein,Neural cell adhesion molecule L1-like protein
cysteine and histidine-rich domain-containing protein 1,Cysteine and histidine-rich domain-containing protein 1
cartilage intermediate layer protein 1,Cartilage intermediate layer protein 1
cartilage intermediate layer protein 2,Cartilage intermediate layer protein 2
cytoskeleton-associated protein 4,Cytoskeleton-associated protein 4
Creatine kinase,Creatine kinase B-type
Creatine kinase,Creatine kinase M-type
C-type lectin domain family 1 member B,C-type lectin domain family 1 member B
tetranectin,Tetranectin
Chloride intracellular channel protein,Chloride intracellular channel protein 1
Chloride intracellular channel protein,Chloride intracellular channel protein 4
Chloride intracellular channel protein,Chloride intracellular channel protein 5
clathrin interactor 1,Clathrin interactor 1
calsyntenin-3,Calsyntenin-3
Clathrin heavy chain,Clathrin heavy chain 1
Clusterin,Clusterin
Calponin,Calponin-2
"2',3'-cyclic-nucleotide 3'-phosphodiesterase","2',3'-cyclic-nucleotide 3'-phosphodiesterase"
contactin-1,Contactin-1
collagen alpha-1(XII) chain,Collagen alpha-1(XII) chain
collagen alpha-1(XVIII) chain,Collagen alpha-1(XVIII) chain [Cleaved into: Endostatin; Non-collagenous domain 1
collagen alpha-1(I) chain,Collagen alpha-1(I) chain
collagen alpha-1(VI) chain,Collagen alpha-1(VI) chain
collagen alpha-2(VI) chain,Collagen alpha-2(VI) chain
collagen alpha-3(VI) chain,Collagen alpha-3(VI) chain
collagen alpha-3(VI) chain,Collagen alpha-3(VI) chain
collectin-10,Collectin-10
collectin-11,Collectin-11
cartilage oligomeric matrix protein,Cartilage oligomeric matrix protein
Coatomer subunit alpha,Coatomer subunit alpha
Coatomer subunit beta,Coatomer subunit beta
Coatomer subunit beta',Coatomer subunit beta'
Coatomer subunit gamma,Coatomer subunit gamma-1 
COP9 signalosome complex subunit 2,COP9 signalosome complex subunit 2
COP9 signalosome complex subunit 3,COP9 signalosome complex subunit 3
Coronin,Coronin-1A
Coronin,Coronin-1B
Coronin,Coronin-1C
coactosin-like protein,Coactosin-like protein
Cytochrome c oxidase subunit 4,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial "
Cytochrome c oxidase subunit,Cytochrome c oxidase subunit 6B1 
cytochrome c oxidase subunit 6C,Cytochrome c oxidase subunit 6C
ceruloplasmin,Ceruloplasmin
ceruloplasmin,Ceruloplasmin 
carboxypeptidase B2,Carboxypeptidase B2
carboxypeptidase N catalytic chain,Carboxypeptidase N catalytic chain
carboxypeptidase N subunit 2,Carboxypeptidase N subunit 2
copine-3,Copine-3
EF-hand calcium-binding domain-containing protein 4B,EF-hand calcium-binding domain-containing protein 4B
cysteine-rich protein 1,Cysteine-rich protein 1
cysteine-rich secretory protein 2,Cysteine-rich secretory protein 2 
adapter molecule crk,Adapter molecule crk
crk-like protein,Crk-like protein
Pentaxin,C-reactive protein [Cleaved into: C-reactive protein(1-205)]
cartilage acidic protein 1,Cartilage acidic protein 1
quinone oxidoreductase,Quinone oxidoreductase
Citrate synthase,"Citrate synthase, mitochondrial"
Chromosome segregation 1-like protein,Exportin-2
Tyrosine-protein kinase,Tyrosine-protein kinase CSK
Non-specific serine/threonine protein kinase,Casein kinase II subunit alpha
chondroitin sulfate proteoglycan 4,Chondroitin sulfate proteoglycan 4
cysteine and glycine-rich protein 1,Cysteine and glycine-rich protein 1
cysteine and glycine-rich protein 3,Cysteine and glycine-rich protein 3
cystatin-C,Cystatin-C 
cystatin-M,Cystatin-M
cystatin-B,Cystatin-B
CTP synthase,CTP synthase 1
CTP synthase,CTP synthase 2
Carboxypeptidase,Lysosomal protective protein
Cathepsin B,Cathepsin B
Cathepsin C,Dipeptidyl peptidase 1
Cathepsin D,Cathepsin D
cathepsin G,Cathepsin G 
cathepsin S,Cathepsin S
Cathepsin X,Cathepsin Z
src substrate cortactin,Src substrate cortactin
C-X-C motif chemokine,C-X-C motif chemokine 2 
C-X-C motif chemokine,C-X-C motif chemokine 6 OS=B
NADH-cytochrome b5 reductase,NADH-cytochrome b5 reductase 1
NADH-cytochrome b5 reductase,NADH-cytochrome b5 reductase 3 
Cytochrome b reductase 1,Plasma membrane ascorbate-dependent reductase CYBRD1 
"cytochrome c1, heme protein, mitochondrial","Cytochrome c1, heme protein, mitochondrial "
cytochrome c,Cytochrome c 
Cytoplasmic FMR1-interacting protein,Cytoplasmic FMR1-interacting protein 1
protein FAM49B,CYFIP-related Rac1 interactor B
cytohesin-1,Cytohesin-1
CXXC motif containing zinc binding protein,CXXC motif containing zinc binding protein
dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide,Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide
"Aspartate--tRNA ligase, cytoplasmic","Aspartate--tRNA ligase, cytoplasmic"
Dopamine beta-hydroxylase,Dopamine beta-hydroxylase
drebrin-like protein,Drebrin-like protein
Dynactin subunit 1,Dynactin subunit 1
dynactin subunit 2,Dynactin subunit 2
DCN1-like protein,DCN1-like protein 1
DNA damage-binding protein 1,DNA damage-binding protein 1
protein DDI1 homolog 2,Protein DDI1 homolog 2 
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit
DDRGK domain-containing protein 1,DDRGK domain-containing protein 1
D-dopachrome decarboxylase,D-dopachrome decarboxylase
RNA helicase,ATP-dependent RNA helicase DDX3X
2-deoxy-D-ribose 5-phosphate aldolase,Deoxyribose-phosphate aldolase
RNA helicase,ATP-dependent RNA helicase A
protein diaphanous homolog 1,Protein diaphanous homolog 1
Acetyltransferase component of pyruvate dehydrogenase complex,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"
Dihydrolipoyl dehydrogenase,"Dihydrolipoyl dehydrogenase, mitochondrial"
"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial"
dermokine,Dermokine 
dematin,Dematin
dnaJ homolog subfamily B member 2,DnaJ homolog subfamily B member 2
Deoxyribonuclease,Deoxyribonuclease-1
Deoxyribonuclease,Deoxyribonuclease-1-like 1
Dynamin-1-like protein,Dynamin-1-like protein
Dynamin GTPase,Dynamin-2
Aspartyl aminopeptidase,Aspartyl aminopeptidase
docking protein 2,Docking protein 2
docking protein 3,Docking protein 3
Dipeptidyl peptidase 3,Dipeptidyl peptidase 3
Dipeptidyl peptidase 4,Dipeptidyl peptidase 4
dihydropyrimidinase,Dihydropyrimidinase
Dihydropyrimidinase-related protein 2,Dihydropyrimidinase-related protein 2
desmocollin-1,Desmocollin-1
desmocollin-2,Desmocollin-2
desmoglein-1,Desmoglein-1
desmoplakin,Desmoplakin
Actin-depolymerizing factor,Destrin
cytoplasmic dynein 1 heavy chain 1,Cytoplasmic dynein 1 heavy chain 1
cytoplasmic dynein 1 intermediate chain 2,Cytoplasmic dynein 1 intermediate chain 2
Cytoplasmic dynein 2 heavy chain 1,Cytoplasmic dynein 2 heavy chain 1
Dynein light chain,"Dynein light chain 2, cytoplasmic "
"enoyl-CoA delta isomerase 1, mitochondrial","Enoyl-CoA delta isomerase 1, mitochondrial"
extracellular matrix protein 1,Extracellular matrix protein 1
extracellular matrix protein 1,Extracellular matrix protein 1
Elongation factor 1-alpha,Elongation factor 1-alpha 1
Elongation factor 1-alpha,Elongation factor 1-alpha 2
Elongation factor 1-beta,Elongation factor 1-beta
Elongation factor 1-gamma,Elongation factor 1-gamma
elongation factor 2,Elongation factor 2
EGF-containing fibulin-like extracellular matrix protein 1,EGF-containing fibulin-like extracellular matrix protein 1
EGF-containing fibulin-like extracellular matrix protein 2,EGF-containing fibulin-like extracellular matrix protein 2
EF-hand domain-containing protein D2,EF-hand domain-containing protein D2
epidermal growth factor-like protein 8,Epidermal growth factor-like protein 8
EH domain-containing protein 1,EH domain-containing protein 1
EH domain-containing protein 2,EH domain-containing protein 2
EH domain-containing protein 3,EH domain-containing protein 3
EH domain-containing protein 4,EH domain-containing protein 4
Eukaryotic translation initiation factor 4C,"Eukaryotic translation initiation factor 1A, X-chromosomal"
Eukaryotic translation initiation factor 2 subunit 1,Eukaryotic translation initiation factor 2 subunit 1
Eukaryotic translation initiation factor 3 subunit B,Eukaryotic translation initiation factor 3 subunit B
Eukaryotic translation initiation factor 3 subunit D,Eukaryotic translation initiation factor 3 subunit D
Eukaryotic translation initiation factor 3 subunit L,Eukaryotic translation initiation factor 3 subunit L
RNA helicase,Eukaryotic initiation factor 4A-I
RNA helicase,Eukaryotic initiation factor 4A-II
eukaryotic translation initiation factor 4B,Eukaryotic translation initiation factor 4B
eukaryotic translation initiation factor 4 gamma 1,Eukaryotic translation initiation factor 4 gamma 1
eukaryotic translation initiation factor 4 gamma 2,Eukaryotic translation initiation factor 4 gamma 2
Eukaryotic translation initiation factor 5A,Eukaryotic translation initiation factor 5A-1
Eukaryotic translation initiation factor 6,Eukaryotic translation initiation factor 6
neutrophil elastase,Neutrophil elastase 
EMILIN-1,EMILIN-1
echinoderm microtubule-associated protein-like 2,Echinoderm microtubule-associated protein-like 2
endonuclease domain-containing 1 protein,Endonuclease domain-containing 1 protein
2-phospho-D-glycerate hydro-lyase,Alpha-enolase
2-phospho-D-glycerate hydro-lyase,Gamma-enolase
2-phospho-D-glycerate hydro-lyase,Beta-enolase
Aminopeptidase,Glutamyl aminopeptidase
ectonucleotide pyrophosphatase/phosphodiesterase family member 1,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1
ectonucleotide pyrophosphatase/phosphodiesterase family member 2,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2
AP3A hydrolase,Bis(5'-adenosyl)-triphosphatase ENPP4
alpha-endosulfine,Alpha-endosulfine
Band 4.1,Protein 4.1
erythrocyte membrane protein band 4.2,Protein 4.2
epidermal growth factor receptor substrate 15,Epidermal growth factor receptor substrate 15
Aminopeptidase,Endoplasmic reticulum aminopeptidase 1
ERO1-like protein alpha,ERO1-like protein alpha
Endoplasmic reticulum resident protein 29,Endoplasmic reticulum resident protein 29
endothelial cell-selective adhesion molecule,Endothelial cell-selective adhesion molecule
S-formylglutathione hydrolase,S-formylglutathione hydrolase
extended synaptotagmin-1,Extended synaptotagmin-1
extended synaptotagmin-2,Extended synaptotagmin-2
Eukaryotic peptide chain release factor subunit 1,Eukaryotic peptide chain release factor subunit 1
Electron transfer flavoprotein subunit alpha,"Electron transfer flavoprotein subunit alpha, mitochondrial"
Electron transfer flavoprotein subunit beta,Electron transfer flavoprotein subunit beta
"persulfide dioxygenase ETHE1, mitochondrial","Persulfide dioxygenase ETHE1, mitochondrial"
exocyst complex component 3,Exocyst complex component 3
exocyst complex component 3-like protein 4,Exocyst complex component 3-like protein 4
Exocyst complex component Sec8,Exocyst complex component 4
exostosin-2,Exostosin-2 
exostosin-like 2,Exostosin-like 2
ezrin,Ezrin
coagulation factor X,Coagulation factor X
coagulation factor XI,Coagulation factor XI 
coagulation factor XI,Coagulation factor XI 
Junctional adhesion molecule 1,Junctional adhesion molecule A
coagulation factor XII,Coagulation factor XII
coagulation factor XIII A chain,Coagulation factor XIII A chain
coagulation factor XIII B chain,Coagulation factor XIII B chain
Prothrombin,Prothrombin
proteinase-activated receptor 4,Proteinase-activated receptor 4
coagulation factor V,Coagulation factor V
Coagulation factor VII,Coagulation factor VII
coagulation factor VIII,Coagulation factor VIII
Christmas factor,Coagulation factor IX
"fatty acid-binding protein, heart","Fatty acid-binding protein, heart"
Adipocyte-type fatty acid-binding protein,"Fatty acid-binding protein, adipocyte "
fatty acid-binding protein 5,Fatty acid-binding protein 5
Fumarylacetoacetase,Fumarylacetoacetase
protein FAM114A2,Protein FAM114A2
protein FAM186B,Protein FAM186B
